,X,Y,Z,Velocity,label
0,0.0,1.0,2.0,0,1.0
1,-0.928556278347969,1.4673774056136608,0.00923113530734554,0,1.0
2,0.6464566698670388,1.7428069376945496,0.14515450303908436,0,1.0
3,-0.9114858309427897,1.4136369824409485,0.1418899788210789,0,1.0
4,0.6554542763813122,1.7791139209592663,0.25183716693238634,0,1.0
5,-0.8113740285237631,1.3513804872830708,0.18687022834395364,0,1.0
6,0.674884518203528,1.7577501172604768,0.14886408292121536,0,1.0
7,-0.7702984861705614,1.3370978676754495,0.15549978362801278,0,1.0
8,0.6454385062869714,1.8313249130638278,0.1301447976266547,0,1.0
9,0.5782850058201481,1.8095591068267822,0.2539346065125702,0,1.0
10,-0.8351643866016751,1.3513723696981157,0.24079723265909014,0,1.0
11,0.6674153288560254,1.831778930766242,0.23248788836229192,0,1.0
12,-0.7814943075180054,1.352479913830757,0.21172209391370417,0,1.0
13,0.6194448620080948,1.8443195115436206,0.24930188423869284,0,1.0
14,-0.768632865869082,1.3129040063955846,0.3434231084986375,0,1.0
15,0.7204277758245115,1.8350346265015778,0.21974237263202667,0,1.0
16,-0.739937307505772,1.3242222728400395,0.2900123402219394,0,1.0
17,0.5303320073607293,1.8499635728922756,0.06367787998169662,0,1.0
