,X,Y,Z,Velocity
0,0.0,0.0,0.0,2.0
1,-0.8570417165756226,1.477770209312439,-0.140559121966362,0.07578357309103012
2,1.0482279062271118,4.0552144050598145,0.19225595891475677,-0.15156714618206024
3,-0.8034766316413879,1.5117985010147095,-0.0835021510720253,0.07578357309103012
4,1.0482279062271118,4.0552592277526855,0.1913081258535385,-0.15156714618206024
5,-0.8702269792556763,1.504198670387268,-0.09628646075725555,0.07578357309103012
6,-0.8702269792556763,1.5047783851623535,-0.08675802499055862,0.07578357309103012
7,-0.8570417165756226,1.4817728996276855,-0.08894214034080505,0.07578357309103012
8,-0.8570417165756226,1.4818681478500366,-0.08733949810266495,0.07578357309103012
9,1.041635274887085,4.0294036865234375,0.19740107655525208,0.07578357309103012
10,1.041635274887085,4.030863285064697,0.1649259775876999,0.15156714618206024
11,1.0482279062271118,4.0532121658325195,0.2306405007839203,0.15156714618206024
12,1.0482279062271118,4.047972679138184,0.3092597723007202,0.07578357309103012
13,-0.8702269792556763,1.5069258213043213,-0.03255094215273857,0.07578357309103012
14,-0.8702269792556763,1.5007636547088623,-0.13997693359851837,0.07578357309103012
15,-0.8702269792556763,1.4970576763153076,-0.1752236783504486,0.07578357309103012
16,0.940273642539978,4.142641544342041,0.6561957001686096,0.07578357309103012
17,1.3432480096817017,4.030880928039551,0.6510547995567322,0.07578357309103012
18,-0.8702269792556763,1.5039803981781006,-0.09963950514793396,0.07578357309103012
19,1.3432480096817017,4.014034748077393,0.747929573059082,0.07578357309103012
20,-0.9246161580085754,1.4741257429122925,-0.034901995211839676,0.07578357309103012
21,1.3350071907043457,4.0061516761779785,0.6470605731010437,0.07578357309103012
22,1.0680058002471924,4.088036060333252,0.6304806470870972,-0.07578357309103012
23,0.940273642539978,4.1942901611328125,0.0014311854029074311,0.15156714618206024
24,0.49032673239707947,0.7794999480247498,0.06188221275806427,-0.07578357309103012
25,1.081191062927246,4.172332763671875,0.35531967878341675,0.07578357309103012
26,0.9460421800613403,4.2097625732421875,0.29409027099609375,0.15156714618206024
27,1.087783694267273,4.13832950592041,0.7895113229751587,0.07578357309103012
